YrCaught,YrTagged,Length,Weight,Site,AgeP
9,9,94,9.9,Site 3,0
9,9,88,7.8,Site 3,0
9,9,81,6.1,Site 3,0
9,9,66,3.2,Site 3,0
9,9,72,3.9,Site 3,0
9,9,73,4.4,Site 3,0
9,9,65,2.7,Site 3,0
9,9,71,3.9,Site 3,0
9,9,93,9.1,Site 3,0
9,9,69,3.8,Site 3,0
9,9,70,3.7,Site 3,0
9,9,91,7.9,Site 3,0
9,9,101,11.8,Site 3,1
9,9,103,12.7,Site 3,1
9,9,84,6.5,Site 3,0
9,9,102,11.4,Site 3,1
9,9,113,14.3,Site 3,1
9,9,67,3.4,Site 3,0
9,9,74,4,Site 3,0
