YrCaught,YrTagged,Length,Weight,Site,AgeP
8,8,77,5.4,Site 3,0
8,8,100,11.3,Site 3,0
8,8,76,4.5,Site 3,0
8,8,84,6.6,Site 3,0
8,8,70,3.8,Site 3,0
8,8,67,3.3,Site 3,0
8,8,87,6.9,Site 3,0
8,8,85,6.6,Site 3,0
8,8,87,8,Site 3,0
8,8,66,3.4,Site 3,0
8,8,83,6.1,Site 3,0
8,8,109,15.1,Site 3,1
8,8,70,3.7,Site 3,0
8,8,125,23.1,Site 3,1
8,8,123,21.5,Site 3,1
8,NA,49,1.9,Site 2,0
8,NA,50,1.8,Site 2,0
8,NA,51,1.6,Site 2,0
8,NA,52,1.4,Site 2,0
8,NA,53,1.3,Site 2,0
8,NA,54,2.6,Site 2,0
8,NA,54,1.7,Site 2,0
8,NA,55,1.7,Site 2,0
8,NA,55,1.9,Site 2,0
8,NA,56,2.1,Site 2,0
8,NA,56,1.8,Site 2,0
8,NA,57,2.3,Site 2,0
8,NA,57,1.9,Site 2,0
8,NA,57,2,Site 2,0
8,NA,58,2.2,Site 2,0
8,NA,58,2.1,Site 2,0
8,NA,58,2,Site 2,0
8,NA,58,2.3,Site 2,0
8,NA,59,2.3,Site 2,0
8,NA,59,2,Site 2,0
8,NA,59,2.2,Site 2,0
8,NA,60,2.4,Site 2,0
8,NA,60,2,Site 2,0
8,NA,61,2.9,Site 2,0
8,NA,61,2.8,Site 2,0
8,NA,61,2.2,Site 2,0
8,NA,61,2.2,Site 2,0
8,NA,62,3.3,Site 2,0
8,NA,62,2.4,Site 2,0
8,NA,63,3.1,Site 2,0
8,NA,63,2.6,Site 2,0
8,NA,63,2.3,Site 2,0
8,NA,64,3.1,Site 2,0
8,NA,64,3.1,Site 2,0
8,NA,64,2.8,Site 2,0
8,NA,64,3.4,Site 2,0
8,NA,64,2.6,Site 2,0
8,NA,64,2.8,Site 2,0
8,NA,64,2.3,Site 2,0
8,NA,64,3.5,Site 2,0
8,8,65,3.1,Site 2,0
8,8,65,3.2,Site 2,0
8,8,65,2.6,Site 2,0
8,8,65,2.8,Site 2,0
8,8,66,3.3,Site 2,0
8,8,66,3.3,Site 2,0
8,8,67,3,Site 2,0
8,8,67,2.8,Site 2,0
8,8,67,3.1,Site 2,0
8,8,67,3,Site 2,0
8,8,68,3.1,Site 2,0
8,8,69,3.6,Site 2,0
8,8,69,3.4,Site 2,0
8,8,70,3.7,Site 2,0
8,8,70,3.5,Site 2,0
8,8,70,3.5,Site 2,0
8,8,70,3.7,Site 2,0
8,8,71,4.2,Site 2,0
8,8,71,4.4,Site 2,0
8,8,71,4,Site 2,0
